# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Timestamp,TrafficCount
2020-01-26 11:30:00,174.00
2020-01-26 12:30:00,279.00
2020-01-26 13:30:00,106.00
2020-01-26 14:30:00,281.00
2020-01-26 15:30:00,220.00
2020-01-26 16:30:00,247.00
2020-01-26 17:30:00,273.00
2020-01-26 18:30:00,312.00
2020-01-26 19:30:00,378.00
2020-01-26 20:30:00,391.00
2020-01-26 21:30:00,585.00
2020-01-26 22:30:00,1092.00
2020-01-26 23:30:00,591.00
2020-01-27 00:00:00,591.00
2020-01-27 00:30:00,177.00
2020-01-27 01:30:00,54.00
2020-01-27 02:30:00,630.00
2020-01-27 03:30:00,104.00
2020-01-27 04:30:00,229.00
2020-01-27 05:30:00,604.00
2020-01-27 06:30:00,459.00
2020-01-27 07:30:00,1201.00
2020-01-27 08:30:00,4929.00
2020-01-27 09:30:00,10575.00
2020-01-27 10:30:00,19226.00
2020-01-27 11:30:00,22354.00
2020-01-27 12:30:00,12963.00
2020-01-27 13:30:00,18882.00
2020-01-27 14:30:00,18978.00
2020-01-27 15:30:00,14500.00
2020-01-27 16:30:00,12747.00
2020-01-27 17:30:00,8000.00
2020-01-27 18:30:00,5748.00
2020-01-27 19:30:00,3864.00
2020-01-27 20:30:00,2333.00
2020-01-27 21:30:00,1671.00
2020-01-27 22:30:00,1062.00
2020-01-27 23:30:00,730.00
2020-01-28 00:30:00,287.00
2020-01-28 01:30:00,586.00
2020-01-28 02:30:00,259.00
2020-01-28 03:30:00,100.00
2020-01-28 04:30:00,42.00
2020-01-28 05:30:00,416.00
2020-01-28 06:30:00,508.00
2020-01-28 07:30:00,3715.00
2020-01-28 08:30:00,11569.00
2020-01-28 09:30:00,32812.00
2020-01-28 10:30:00,57912.00
2020-01-28 11:30:00,57920.00
2020-01-28 12:30:00,36753.00
2020-01-28 13:30:00,36332.00
2020-01-28 14:30:00,67709.00
2020-01-28 15:30:00,53326.00
2020-01-28 16:30:00,28977.00
2020-01-28 17:30:00,21362.00
2020-01-28 18:30:00,13204.00
2020-01-28 19:30:00,7271.00
2020-01-28 20:30:00,5412.00
2020-01-28 21:30:00,3366.00
